grau,intercept,coeficientes,r2_ajustado
1,-1.696247,0.000000|0.411511,0.689672
2,-1.722862,0.000000|0.427512|-0.001600,0.689118
3,-0.855285,0.000000|-0.618822|0.260245|-0.017456,0.742477
4,0.016876,0.000000|-2.379004|1.054179|-0.141039|0.006179,0.785161
5,-1.013687,0.000000|0.756612|-1.149547|0.447501|-0.060065|0.002650,0.835181
6,-2.570277,0.000000|7.427708|-7.860734|3.138662|-0.565209|0.047120|-0.001482,0.934814
7,-1.785355,0.000000|2.910276|-1.711302|-0.290146|0.379396|-0.089020|0.008353|-0.000281,0.957383
8,-0.908979,0.000000|-3.628062|9.856833|-8.815529|3.584628|-0.756628|0.086296|-0.005054|0.000119,0.983132
9,-1.332515,0.000000|0.358671|0.963074|-0.461291|-0.502097|0.389902|-0.105007|0.013697|-0.000877|0.000022,0.988705
10,-1.650003,0.000000|4.049527|-9.175152|11.348402|-7.767451|3.012245|-0.688670|0.094771|-0.007721|0.000343|-0.000006,0.991656
